rank,lemma,reading,score,model_score,correction_delta,band,core_rank,pmw,candidate_state,pos,pos_bucket,correction_types,display_form,admission_override,topic_stretch_allowed,correction_status,correction_rationale,manual_correction_active,translations,rank_base,frequency_blend,learner_source_confidence,goethe_stem_learner_source_known,openlingo_learner_source_known,wordfreq_de_commonness_score,opensubtitles_cistem_frequency_score,translation_count_score,reverse_support_score
44250,herabstufen,,0.841933,0.841933,0.0,0.80-0.85,31336.0,1.948742,normal_vocab,SUB:AKK:SIN:NEU:INF|SUB:DAT:SIN:NEU:INF|SUB:NOM:SIN:NEU:INF|VER:1:PLU:KJ1:SFT|VER:1:PLU:PRÄ:SFT|VER:3:PLU:KJ1:SFT|VER:3:PLU:PRÄ:SFT|VER:INF:SFT,noun,,,,,,,,,0.928461,0.906167,0.0,0.0,0.0,0.16,0.0,0.0,0.0
44251,fehlerkultur,,0.841939,0.841939,0.0,0.80-0.85,37135.0,1.252763,normal_vocab,,other,,,,,,,,error culture; culture of error management,0.943688,0.928107,0.0,0.0,0.0,0.297333,0.0,0.428317,0.666667
44252,pakistaner,,0.84194,0.84194,0.0,0.80-0.85,39515.0,1.113567,normal_vocab,,other,,,,,,,,pakistani; pakistanis,0.949259,0.934385,0.0,0.0,0.0,0.336,0.0,0.428317,0.666667
44253,gespickt,,0.841941,0.841941,0.0,0.80-0.85,43487.0,0.835175,normal_vocab,PA2:PRD:GRU:VER|VER:PA2:SFT,verb,,,,,,,,à la mode; sneaked peaks at the person's paper next to you; larded,0.957849,0.946226,0.0,0.0,0.0,0.410667,0.0,0.758654,1.0
44254,landesverrat,,0.841942,0.841942,0.0,0.80-0.85,41390.0,0.974371,normal_vocab,,other,,,,,,,,treason,0.953417,0.940104,0.0,0.0,0.0,0.372,0.325475,0.270238,0.333333
44255,schmökern,,0.841955,0.841955,0.0,0.80-0.85,39721.0,1.113567,normal_vocab,SUB:AKK:SIN:NEU:INF|SUB:DAT:SIN:NEU:INF|SUB:NOM:SIN:NEU:INF|VER:1:PLU:KJ1:SFT|VER:1:PLU:PRÄ:SFT|VER:3:PLU:KJ1:SFT|VER:3:PLU:PRÄ:SFT|VER:INF:SFT,noun,,,,,,,,dip into a book etc.,0.949726,0.934641,0.0,0.0,0.0,0.337333,0.0,0.270238,0.333333
44256,trachtenverein,,0.841958,0.841958,0.0,0.80-0.85,38077.0,1.252763,normal_vocab,,other,,,,,,,,alpine folklore club,0.945935,0.929343,0.0,0.0,0.0,0.304,0.0,0.270238,0.333333
44257,normalzustand,,0.841961,0.841961,0.0,0.80-0.85,41608.0,0.974371,normal_vocab,SUB:AKK:SIN:MAS|SUB:DAT:SIN:MAS|SUB:NOM:SIN:MAS,noun,,,,,,,,normal situation; this is the normal situation.,0.953888,0.940363,0.0,0.0,0.0,0.373333,0.0,0.428317,0.333333
44258,ornithologe,,0.841963,0.841963,0.0,0.80-0.85,37706.0,1.252763,normal_vocab,,other,,,,,,,,ornithologist,0.945057,0.92886,0.0,0.0,0.0,0.301333,0.0,0.270238,0.333333
44259,inkontinenz,,0.841981,0.841981,0.0,0.80-0.85,41215.0,0.974371,normal_vocab,,other,,,,,,,,incontinence,0.953037,0.939895,0.0,0.0,0.0,0.370667,0.233255,0.270238,0.333333
44260,warenlager,,0.841986,0.841986,0.0,0.80-0.85,40137.0,1.113567,normal_vocab,,other,,,,,,,,storehouse; warehouse; storehouses,0.95066,0.935155,0.0,0.0,0.0,0.34,0.0,0.627474,1.0
44261,schreckschusswaffen,,0.841995,0.841995,0.0,0.80-0.85,36336.0,1.391959,normal_vocab,,other,,,,,,,,blank-firing guns; blank guns,0.941737,0.924013,0.0,0.0,0.0,0.270667,0.0,0.428317,0.333333
44262,pistazie,,0.842007,0.842007,0.0,0.80-0.85,37736.0,1.252763,normal_vocab,,other,,,,,,,,pistachio nut; pistachio,0.945128,0.928899,0.0,0.0,0.0,0.301333,0.33373,0.428317,0.666667
44263,erfrischt,,0.84201,0.84201,0.0,0.80-0.85,40832.0,0.974371,normal_vocab,PA2:PRD:GRU:VER|VER:2:PLU:PRÄ:SFT|VER:3:SIN:PRÄ:SFT|VER:IMP:PLU:SFT|VER:PA2:SFT,verb,,,,,,,,refreshes; refreshed,0.9522,0.939435,0.0,0.0,0.0,0.368,0.144629,0.428317,0.666667
44264,blütenpracht,,0.842032,0.842032,0.0,0.80-0.85,38615.0,1.113567,normal_vocab,,other,,,,,,,,flowery splendour; flowery splendor,0.947193,0.933249,0.0,0.0,0.0,0.329333,0.0,0.428317,0.666667
44265,medaillengewinner,,0.842039,0.842039,0.0,0.80-0.85,39390.0,1.113567,normal_vocab,,other,,,,,,,,medalist; medallist; medal winner,0.948975,0.934229,0.0,0.0,0.0,0.334667,0.0,0.758654,1.0
44266,kartenhaus,,0.842046,0.842046,0.0,0.80-0.85,41263.0,0.974371,normal_vocab,SUB:AKK:SIN:NEU|SUB:DAT:SIN:NEU|SUB:NOM:SIN:NEU,noun,,,,,,,,house of cards; collapse like a house of cards; chart room,0.953141,0.939953,0.0,0.0,0.0,0.370667,0.0,0.627474,1.0
44267,luftnummer,,0.842047,0.842047,0.0,0.80-0.85,37577.0,1.252763,normal_vocab,,other,,,,,,,,flop; washout; bust,0.944749,0.928691,0.0,0.0,0.0,0.3,0.0,0.627474,1.0
44268,ce-kennzeichnung,,0.842052,0.842052,0.0,0.80-0.85,45874.0,0.695979,normal_vocab,,other,,,,,,,,ce marking; ce mark,0.962641,0.952836,0.0,0.0,0.0,0.452,0.0,0.428317,0.666667
44269,finanzrahmen,,0.842054,0.842054,0.0,0.80-0.85,35661.0,1.391959,normal_vocab,,other,,,,,,,,financial framework,0.940056,0.923089,0.0,0.0,0.0,0.265333,0.0,0.270238,0.333333
44270,qualitätsverlust,,0.842057,0.842057,0.0,0.80-0.85,39598.0,1.113567,normal_vocab,,other,,,,,,,,loss of quality; degradation,0.949447,0.934488,0.0,0.0,0.0,0.336,0.0,0.428317,0.666667
44271,pinakothek,,0.842063,0.842063,0.0,0.80-0.85,41684.0,0.974371,normal_vocab,,other,,,,,,,,pinacotheca,0.954052,0.940453,0.0,0.0,0.0,0.373333,0.112543,0.270238,0.333333
44272,verstümmelung,,0.842069,0.842069,0.0,0.80-0.85,42309.0,0.974371,normal_vocab,,other,,,,,,,,mutilation,0.955386,0.941187,0.0,0.0,0.0,0.377333,0.0,0.270238,0.333333
44273,speicherstadt,,0.842072,0.842072,0.0,0.80-0.85,39804.0,1.113567,normal_vocab,,other,,,,,,,,warehouse district,0.949913,0.934744,0.0,0.0,0.0,0.337333,0.144629,0.270238,0.333333
44274,rahmenhandlung,,0.842075,0.842075,0.0,0.80-0.85,39610.0,1.113567,normal_vocab,,other,,,,,,,,framework plot; subplot; frame story,0.949475,0.934503,0.0,0.0,0.0,0.336,0.043538,0.540476,1.0
44275,ankömmling,,0.842079,0.842079,0.0,0.80-0.85,34034.0,1.531155,normal_vocab,SUB:AKK:SIN:MAS|SUB:DAT:SIN:MAS|SUB:NOM:SIN:MAS,noun,,,,,,,,arrival,0.935868,0.917935,0.0,0.0,0.0,0.233333,0.0,0.270238,0.333333
44276,satellitenaufnahme,,0.842091,0.842091,0.0,0.80-0.85,33650.0,1.67035,normal_vocab,,other,,,,,,,,satellite picture,0.93485,0.914678,0.0,0.0,0.0,0.212,0.0,0.270238,0.333333
44277,yellowstone,,0.842096,0.842096,0.0,0.80-0.85,40216.0,1.113567,normal_vocab,,other,,,,,,,,yellowstone,0.950836,0.935252,0.0,0.0,0.0,0.34,0.0,0.270238,0.333333
44278,diadem,,0.842098,0.842098,0.0,0.80-0.85,40695.0,0.974371,normal_vocab,SUB:AKK:SIN:NEU|SUB:DAT:SIN:NEU|SUB:NOM:SIN:NEU,noun,,,,,,,,diadem,0.951898,0.939269,0.0,0.0,0.0,0.366667,0.0,0.270238,0.333333
44279,chefredaktor,,0.8421,0.8421,0.0,0.80-0.85,38662.0,1.113567,normal_vocab,,other,,,,,,,,,0.947302,0.933309,0.0,0.0,0.0,0.329333,0.0,0.0,0.0
44280,kapitalstock,,0.842102,0.842102,0.0,0.80-0.85,37428.0,1.252763,normal_vocab,,other,,,,,,,,capital stock,0.944393,0.928495,0.0,0.0,0.0,0.298667,0.0,0.270238,0.333333
44281,staatsgründung,,0.842111,0.842111,0.0,0.80-0.85,39832.0,1.113567,normal_vocab,,other,,,,,,,,founding of the/a state,0.949976,0.934779,0.0,0.0,0.0,0.337333,0.0,0.270238,0.333333
44282,abgeflacht,,0.842111,0.842111,0.0,0.80-0.85,40305.0,0.974371,normal_vocab,PA2:PRD:GRU:VER|VER:PA2:SFT,verb,,,,,,,,flattened; levelled; leveled,0.951034,0.938794,0.0,0.0,0.0,0.364,0.043538,0.540476,1.0
44283,handlungsstränge,,0.842114,0.842114,0.0,0.80-0.85,41110.0,0.974371,normal_vocab,,other,,,,,,,,plotlines; storylines,0.952808,0.939769,0.0,0.0,0.0,0.369333,0.0,0.428317,0.666667
44284,kfz-haftpflichtversicherung,,0.842122,0.842122,0.0,0.80-0.85,43842.0,0.835175,normal_vocab,,other,,,,,,,,motor vehicle liability insurance; third-party motor insurance; automobile liability insurance,0.958578,0.946627,0.0,0.0,0.0,0.412,0.0,0.540476,1.0
44285,hauptfriedhof,,0.842123,0.842123,0.0,0.80-0.85,39062.0,1.113567,normal_vocab,,other,,,,,,,,main cemetery; central cemetery,0.948225,0.933816,0.0,0.0,0.0,0.332,0.069005,0.428317,0.666667
